date,piid,agency,ceiling_value,value,update_date,fpds_status,fpds_link,vendor,description
2/25/2025,95332A22F00018,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,394437,0,2/26/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9577&PIID=95332A22F00018&modNumber=P00006&idvAgencyID=&idvPIID=GS00F170CA&contractType=AWARD,"M POWERED STRATEGIES, INC.",TO PROCURE A PROFESSIONAL CONSULTING SERVICE FOR VALUE PLANNING AND VALUE MAPPING RELATED TO THE AMERICORPS MODERNIZATION INITIATIVE.
2/25/2025,95332A22F00023,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,3204278,0,2/26/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9577&PIID=95332A22F00023&modNumber=P00007&idvAgencyID=&idvPIID=GS00F170CA&contractType=AWARD,"M POWERED STRATEGIES, INC.",CHANGE MANAGEMENT AND BUSINESS PROCESS REENGINEERING PROFESSIONAL SERVICES.
2/24/2025,9523ZY22P0041,Commodity Futures Trading Commission,41106,0,2/25/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY22P0041&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,THE NEW YORK TIMES COMPANY,ONLINE SUBSCRIPTION TO THE NEW YORK TIMES.
2/25/2025,9523ZY23C0032,Commodity Futures Trading Commission,443742,0,2/26/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY23C0032&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"GOVERNMENT SOLUTIONS GROUP, LLC",DEIA INCLUSIVE LEADERSHIP TRAINING FOR SUPERVISORS
2/12/2025,20343024F00049,Consumer Financial Protection Bureau,45321,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00049&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC82B&contractType=AWARD,"NEW TECH SOLUTIONS, INC.",NEW RELIC LICENSE RENEWAL
2/12/2025,20343024F00043,Consumer Financial Protection Bureau,54124,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00043&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC80B&contractType=AWARD,"LYME COMPUTER SYSTEMS, INC.",MAINTENANCE RENEWAL FOR MATLAB LICENSES
2/12/2025,20343024F00025,Consumer Financial Protection Bureau,56544,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00025&modNumber=P00001&idvAgencyID=&idvPIID=47QTCA23D007Q&contractType=AWARD,"THE WINVALE GROUP, LLC",ROSETTA STONE CATALYST BRONZE SOFTWARE
2/12/2025,20343024F00016,Consumer Financial Protection Bureau,72154,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00016&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD06B&contractType=AWARD,"4 STAR TECHNOLOGIES, INC.",PROVAR LICENSE RENEWAL
2/12/2025,20343024F00022,Consumer Financial Protection Bureau,92135,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00022&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD09B&contractType=AWARD,BAHFED CORP,BEYONDTRUST LICENSES
2/12/2025,9531CB24P0021,Consumer Financial Protection Bureau,291950,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0021&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"OPTIMAL BLUE, LLC",MORTGAGE RATE LOCK DATA
2/12/2025,9531CB24F0085,Consumer Financial Protection Bureau,341150,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0085&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD74B&contractType=AWARD,SOFTWARE INFORMATION RESOURCE CORP.,OFLEO/ENF FORECLOSURE DATA
2/12/2025,20343020F00068,Consumer Financial Protection Bureau,401733,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343020F00068&modNumber=P00006&idvAgencyID=&idvPIID=NNG15SD23B&contractType=AWARD,"GOVERNMENT ACQUISITIONS, INC.",IBM I2 ANALYST NOTEBOOK LICENSES AND SOFTWARE SUBSCRIPTION FOR CFPB
2/12/2025,9531CB24F0075,Consumer Financial Protection Bureau,446087,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0075&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC71B&contractType=AWARD,"FCN, INC.",CISCO SMARTNET MAINTENANCE
2/12/2025,20343021F00033,Consumer Financial Protection Bureau,467095,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021F00033&modNumber=P00005&idvAgencyID=&idvPIID=NNG15SD06B&contractType=AWARD,"4 STAR TECHNOLOGIES, INC.",NUVOLO IWMS LICENSES
2/12/2025,20343023F00019,Consumer Financial Protection Bureau,512500,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023F00019&modNumber=P00004&idvAgencyID=&idvPIID=NNG15SD11B&contractType=AWARD,"GOVSMART, INC.",YUBIENTERPRISE COMPLIANCE TIER PLUS PLAN
2/12/2025,20343024F00034,Consumer Financial Protection Bureau,576384,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00034&modNumber=P00002&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,"EXPERIAN INFORMATION SOLUTIONS, INC.",CONSUMER CREDIT INFORMATION PANEL AUTO FINANCE DATA COLLECTION
2/12/2025,20343023A00001,Consumer Financial Protection Bureau,730000,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023A00001&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=IDV,NATIONAL INSTITUTE FOR TRIAL ADVOCACY,NATIONAL INSTITUTE FOR TRIAL ADVOCACY (NITA) BPA
2/12/2025,9531CB21A0016,Consumer Financial Protection Bureau,5000000,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0016&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D003Z&contractType=IDV,"URBAN INSTITUTE,THE",EVALUATION AND RESEARCH SERVICES BPA
2/12/2025,9531CB21A0015,Consumer Financial Protection Bureau,5000000,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0015&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA18D00DQ&contractType=IDV,TREWON TECHNOLOGIES LLC,EVALUATION AND RESEARCH SERVICES BPA
2/12/2025,9531CB21A0019,Consumer Financial Protection Bureau,5000000,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0019&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA19D00BV&contractType=IDV,ENCOMPASS LLC,EVALUATION AND RESEARCH SERVICES BPA
2/12/2025,9531CB21A0012,Consumer Financial Protection Bureau,5000000,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0012&modNumber=P00002&idvAgencyID=&idvPIID=GS00F216GA&contractType=IDV,2M RESEARCH SERVICES LLC,RESEARCH AND EVALUATION SERVICES BPA
2/12/2025,9531CB21A0013,Consumer Financial Protection Bureau,5000000,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0013&modNumber=P00002&idvAgencyID=&idvPIID=GS00F252CA&contractType=IDV,"ABT ASSOCIATES, INC.",EVALUATION AND RESEARCH SERVICES BPA
2/12/2025,9531CB21A0014,Consumer Financial Protection Bureau,5000000,0,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0014&modNumber=P00002&idvAgencyID=&idvPIID=GS00F348CA&contractType=IDV,FORS MARSH GROUP LLC,EVALUATION AND RESEARCH SERVICES BPA
2/5/2025,9531CB20F0092,Consumer Financial Protection Bureau,94315,1,2/18/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20F0092&modNumber=P00002&idvAgencyID=&idvPIID=9531CB18A0002&contractType=AWARD,"DIAMOND, VIRGINIA M",BPA CALL FOR FACILITATION SERVICES
2/12/2025,9531CB23C0023,Consumer Financial Protection Bureau,40800,17568,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0023&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,GREAT LAKES MARKETING ASSOCIATES INC,NEW EXPERT CONTRACT-GLM-LD
2/12/2025,20343024F00039,Consumer Financial Protection Bureau,26322,26322,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00039&modNumber=P00002&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,"EXPERIAN INFORMATION SOLUTIONS, INC.",MAKING ENDS MEET - CREDIT PANEL DATA FOR PREVIOUS SURVEY RESPONDENTS
